Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01 00:00:00-04:00,4.1925883293151855,4.1925883293151855,4.1925883293151855,4.1925883293151855,3900,0.0,0.0
2002-07-02 00:00:00-04:00,4.332342452989447,4.611848133943533,4.192589212675939,4.228924751281738,21000,0.0,0.0
2002-07-03 00:00:00-04:00,3.913082707251761,4.472093951378611,3.913082707251761,4.1925883293151855,30600,0.0,0.0
2002-07-05 00:00:00-04:00,4.1925883293151855,4.1925883293151855,4.1925883293151855,4.1925883293151855,1500,0.0,0.0
2002-07-08 00:00:00-04:00,3.9130818843841553,3.9130818843841553,3.9130818843841553,3.9130818843841553,900,0.0,0.0
2002-07-09 00:00:00-04:00,3.9130815333248696,4.332340240478516,3.9130815333248696,4.332340240478516,6900,0.0,0.0
2002-07-10 00:00:00-04:00,3.843204549017581,4.332340240478516,3.843204549017581,4.332340240478516,1500,0.0,0.0
2002-07-11 00:00:00-04:00,4.332340240478516,4.332340240478516,4.332340240478516,4.332340240478516,0,0.0,0.0
2002-07-12 00:00:00-04:00,4.1925883293151855,4.1925883293151855,4.1925883293151855,4.1925883293151855,300,0.0,0.0
2002-07-15 00:00:00-04:00,4.122711709991135,4.122711709991135,3.4938235237046578,3.563699722290039,128100,0.0,0.0
2002-07-16 00:00:00-04:00,3.563698997406082,3.563698997406082,3.4938228130340576,3.4938228130340576,17700,0.0,0.0
2002-07-17 00:00:00-04:00,3.4938228130340576,3.4938228130340576,3.4239458289895137,3.4938228130340576,7200,0.0,0.0
2002-07-18 00:00:00-04:00,3.4379213638971677,3.4379213638971677,3.284193515777588,3.284193515777588,4200,0.0,0.0
2002-07-19 00:00:00-04:00,3.242267560961815,3.242267560961815,2.809033187871364,2.9348108768463135,32100,0.0,0.0
2002-07-22 00:00:00-04:00,2.9348114536843175,2.9348114536843175,2.7950582607608445,2.8509597778320312,13800,0.0,0.0
2002-07-23 00:00:00-04:00,2.8509597778320312,2.8509597778320312,2.8509597778320312,2.8509597778320312,300,0.0,0.0
2002-07-24 00:00:00-04:00,2.8509592174750975,2.9348108768463135,2.8509592174750975,2.9348108768463135,6600,0.0,0.0
2002-07-25 00:00:00-04:00,2.9348115145897737,2.9348115145897737,2.836984157562256,2.836984157562256,3900,0.0,0.0
2002-07-26 00:00:00-04:00,2.836984157562256,2.836984157562256,2.836984157562256,2.836984157562256,0,0.0,0.0
2002-07-29 00:00:00-04:00,2.934811431848533,3.1025149822235107,2.920835952725635,3.1025149822235107,12300,0.0,0.0
2002-07-30 00:00:00-04:00,3.144440419316534,3.3121439483303767,3.144440419316534,3.2143166065216064,26700,0.0,0.0
2002-07-31 00:00:00-04:00,3.3261193554369015,3.354069709777832,3.2841935240483053,3.354069709777832,15000,0.0,0.0
2002-08-01 00:00:00-04:00,3.298168420791626,3.326119576664182,3.298168420791626,3.298168420791626,12900,0.0,0.0
2002-08-02 00:00:00-04:00,3.298168420791626,3.298168420791626,3.298168420791626,3.298168420791626,0,0.0,0.0
2002-08-05 00:00:00-04:00,3.3261192793708787,3.3540696330726045,3.3121438026428227,3.3121438026428223,85800,0.0,0.0
2002-08-06 00:00:00-04:00,3.354069709777832,3.354069709777832,3.354069709777832,3.354069709777832,30000,0.0,0.0
2002-08-07 00:00:00-04:00,3.3484800154650793,3.3680458068847656,3.3400948476436456,3.3680458068847656,13200,0.0,0.0
